DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2022-02-26T00:00:00Z,1,62
2022-01-25T00:00:00Z,1,46
2022-01-22T00:00:00Z,1,36
2022-01-19T00:00:00Z,1,9
2022-01-12T00:00:00Z,1,36
2022-02-15T00:00:00Z,1,10
2022-01-14T00:00:00Z,1,31
2022-01-31T00:00:00Z,1,16
2022-02-25T00:00:00Z,1,11
2022-02-27T00:00:00Z,1,12
2022-02-18T00:00:00Z,1,13
2022-02-05T00:00:00Z,1,20
2022-01-23T00:00:00Z,1,33
2022-03-04T00:00:00Z,1,18
2022-02-03T00:00:00Z,1,6
2022-01-30T00:00:00Z,1,7
2022-01-11T00:00:00Z,1,45
2022-02-06T00:00:00Z,1,53
2022-01-15T00:00:00Z,1,12
2022-01-17T00:00:00Z,1,8
2022-01-28T00:00:00Z,1,14
2022-02-19T00:00:00Z,1,4
2022-01-29T00:00:00Z,1,7
2022-02-09T00:00:00Z,1,33
2022-02-01T00:00:00Z,1,11
2022-02-07T00:00:00Z,1,47
2022-02-20T00:00:00Z,1,15
2022-02-24T00:00:00Z,1,21
2022-02-17T00:00:00Z,1,6
2022-02-28T00:00:00Z,1,6
2022-01-27T00:00:00Z,1,53
2022-01-13T00:00:00Z,1,26
2022-02-14T00:00:00Z,1,11
2022-02-23T00:00:00Z,1,10
2022-02-12T00:00:00Z,1,18
2022-01-16T00:00:00Z,1,3
2022-01-24T00:00:00Z,1,91
2022-01-20T00:00:00Z,1,11
2022-02-04T00:00:00Z,1,14
2022-01-26T00:00:00Z,1,15
2022-02-16T00:00:00Z,1,25
2022-02-08T00:00:00Z,1,16
2022-03-01T00:00:00Z,1,26
2022-01-18T00:00:00Z,1,16
2022-02-13T00:00:00Z,1,13
2022-02-22T00:00:00Z,1,24
2022-02-21T00:00:00Z,1,9
2022-03-03T00:00:00Z,1,7
2022-03-02T00:00:00Z,1,53
2022-02-11T00:00:00Z,1,20
2022-02-10T00:00:00Z,1,72
2022-01-21T00:00:00Z,1,28
2022-02-02T00:00:00Z,1,13
